Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.130022,0.138951,0.124442,0.129464,0.100314,6366416000
1985-02-01,0.129464,0.137277,0.110491,0.110491,0.085613,4733388800
1985-03-01,0.110491,0.116071,0.092634,0.098772,0.076533,4615587200
1985-04-01,0.098772,0.102679,0.087612,0.094866,0.073506,2868028800
1985-05-01,0.094866,0.099330,0.075335,0.077567,0.060102,4639129600
1985-06-01,0.075893,0.082589,0.065848,0.080357,0.062264,5811388800
1985-07-01,0.080915,0.081473,0.070871,0.070871,0.054914,2600595200
1985-08-01,0.070871,0.071987,0.064732,0.066964,0.051887,1818745600
1985-09-01,0.066964,0.077009,0.065848,0.070313,0.054482,1797196800
1985-10-01,0.070313,0.085938,0.066964,0.083147,0.064426,3785913600
1985-11-01,0.083147,0.092634,0.083147,0.089844,0.069615,2884672000
1985-12-01,0.089844,0.102121,0.085938,0.098214,0.076100,3571209600
1986-01-01,0.098214,0.110491,0.097098,0.103237,0.079992,6291801600
1986-02-01,0.103237,0.119420,0.102121,0.111607,0.086478,3420860800
1986-03-01,0.111607,0.132254,0.108259,0.126116,0.097720,4264332800
1986-04-01,0.126116,0.146205,0.117188,0.135045,0.104639,4462684800
1986-05-01,0.135045,0.167411,0.132813,0.165179,0.127988,4954051200
1986-06-01,0.165179,0.174665,0.145089,0.160156,0.124096,4063360000
1986-07-01,0.160156,0.168527,0.133929,0.139509,0.108098,5691638400
1986-08-01,0.138951,0.169643,0.136719,0.165179,0.127988,3643516800
1986-09-01,0.165737,0.165737,0.141183,0.149554,0.115881,3578198400
1986-10-01,0.148996,0.157366,0.143973,0.154576,0.119772,2984038400
1986-11-01,0.155134,0.184152,0.151228,0.178571,0.138364,5206163200
1986-12-01,0.178571,0.195871,0.174665,0.180804,0.140095,4762576000
1987-01-01,0.180246,0.255580,0.179129,0.247768,0.191981,8268915200
1987-02-01,0.247768,0.318638,0.230469,0.312500,0.242138,6616176000
1987-03-01,0.313616,0.314732,0.277902,0.287946,0.223113,5959318400
1987-04-01,0.281250,0.357143,0.278460,0.353795,0.274135,6813161600
1987-05-01,0.354911,0.367188,0.323661,0.352679,0.273271,3838956800
1987-06-01,0.354911,0.386161,0.339286,0.361607,0.280615,3497536000
1987-07-01,0.363839,0.399554,0.325893,0.368304,0.285812,3070256000
1987-08-01,0.366071,0.484375,0.357143,0.482143,0.374154,3119300800
1987-09-01,0.488839,0.524554,0.433036,0.504464,0.391981,3075486400
1987-10-01,0.506696,0.533482,0.246652,0.344866,0.267970,6575699200
1987-11-01,0.345982,0.357143,0.272321,0.294643,0.228945,4234238400
1987-12-01,0.299107,0.390625,0.265625,0.375000,0.292020,4702264000
1988-01-01,0.381696,0.412946,0.341518,0.370536,0.288544,6221600000
1988-02-01,0.372768,0.390625,0.337054,0.383929,0.298973,3368467200
1988-03-01,0.386161,0.426339,0.345982,0.357143,0.278663,4882102400
1988-04-01,0.354911,0.378348,0.343750,0.366071,0.285629,3297929600
1988-05-01,0.363839,0.385045,0.333705,0.370536,0.289113,2638507200
1988-06-01,0.370536,0.417411,0.368304,0.412946,0.322841,3534731200
1988-07-01,0.415179,0.424107,0.377232,0.396205,0.309753,2186419200
1988-08-01,0.397321,0.408482,0.350446,0.356027,0.278342,2653313600
1988-09-01,0.354911,0.395089,0.337054,0.386161,0.302469,3060321600
1988-10-01,0.383929,0.386161,0.334821,0.344866,0.270124,3563649600
1988-11-01,0.343750,0.354911,0.316964,0.335938,0.263131,2939865600
1988-12-01,0.337054,0.375000,0.334821,0.359375,0.282232,2946070400
1989-01-01,0.359375,0.392857,0.323661,0.337054,0.264702,7345833600
1989-02-01,0.337054,0.359375,0.314732,0.323661,0.254184,4886268800
1989-03-01,0.323661,0.325893,0.299107,0.318080,0.250490,3859676800
1989-04-01,0.316964,0.371652,0.302455,0.348214,0.274220,3966424000
1989-05-01,0.343750,0.437500,0.343750,0.426339,0.335744,5253382400
1989-06-01,0.426339,0.448661,0.352679,0.368304,0.290677,3941280000
1989-07-01,0.372768,0.375000,0.337054,0.354911,0.280107,3688630400
1989-08-01,0.354911,0.408482,0.350446,0.397321,0.313578,3352305600
1989-09-01,0.397321,0.417411,0.383929,0.397321,0.314322,2020849600
1989-10-01,0.397321,0.449777,0.379464,0.415179,0.328450,4125049600
1989-11-01,0.412946,0.421875,0.379464,0.395089,0.312556,2524939200
1989-12-01,0.397321,0.408482,0.290179,0.314732,0.249599,5941185600
1990-01-01,0.314732,0.345982,0.286830,0.303571,0.240748,3747497600
1990-02-01,0.308036,0.314732,0.287946,0.303571,0.240748,2483891200
1990-03-01,0.299107,0.387277,0.296875,0.359375,0.285921,4556473600
1990-04-01,0.357143,0.395089,0.340402,0.351563,0.279706,3642475200
1990-05-01,0.354911,0.381696,0.345982,0.368304,0.293025,4115630400
1990-06-01,0.369420,0.400670,0.334821,0.399554,0.318770,3952054400
1990-07-01,0.397321,0.426339,0.357143,0.375000,0.299181,4163812800
1990-08-01,0.375000,0.390625,0.299107,0.330357,0.263564,3128339200
1990-09-01,0.325893,0.334821,0.243304,0.258929,0.207202,2206948800
1990-10-01,0.263393,0.285714,0.216518,0.274554,0.219705,5056116800
1990-11-01,0.272321,0.343750,0.265625,0.328125,0.262574,3254608000
1990-12-01,0.332589,0.404018,0.330357,0.383929,0.308257,4094092800
1991-01-01,0.381696,0.500000,0.375000,0.495536,0.397867,7037307200
